dataset,trial,r2_train,r2_zero_test,seed,algorithm
225_puma8NH,6,0.6552617054811003,0.6816887049887683,5390,AlpineGP
225_puma8NH,7,0.6691181819456552,0.6692452390455564,11964,AlpineGP
225_puma8NH,8,0.6739841506551851,0.6725960724345936,6265,AlpineGP
225_puma8NH,9,0.6828330634804347,0.6690090258110692,23654,AlpineGP
225_puma8NH,10,0.6811012026145207,0.6673543888795193,11284,AlpineGP
1028_SWD,1,0.4202499576093138,0.406849604348682,29802,AlpineGP
1028_SWD,2,0.482510006151668,0.2305511594054835,22118,AlpineGP
1028_SWD,3,0.4156153426639528,0.4248702375631467,860,AlpineGP
1028_SWD,4,0.4380532821475612,0.3363154532047558,15795,AlpineGP
1028_SWD,5,0.4428934625060721,0.3459509144980254,21575,AlpineGP
1028_SWD,6,0.4429877575831473,0.3469336602745326,5390,AlpineGP
1028_SWD,7,0.4432382919214426,0.3069262471636771,11964,AlpineGP
1028_SWD,8,0.4560835415566665,0.2590463830465462,6265,AlpineGP
1028_SWD,9,0.4288081929782685,0.4154074195068431,23654,AlpineGP
1028_SWD,10,0.4309369654765507,0.3446097887894125,11284,AlpineGP
228_elusage,1,0.9404803542652006,0.4230547511914839,29802,AlpineGP
228_elusage,2,0.8997299935103586,0.5100999144509297,22118,AlpineGP
228_elusage,3,0.8981638231695418,0.8604770010372502,860,AlpineGP
228_elusage,4,0.8782891485863765,0.6731083863221022,15795,AlpineGP
228_elusage,5,0.8954448337175933,0.850030447472524,21575,AlpineGP
228_elusage,6,0.8949906070681711,0.6145901953734203,5390,AlpineGP
228_elusage,7,0.9077950670106522,0.8109523793586982,11964,AlpineGP
228_elusage,8,0.903539207434487,0.7680044911289763,6265,AlpineGP
228_elusage,9,0.9155775594479308,0.8151582048420889,23654,AlpineGP
228_elusage,10,0.9517768175105538,0.1569078222590485,11284,AlpineGP
529_pollen,1,0.7936416714066328,0.7762755533706103,29802,AlpineGP
529_pollen,2,0.796441760348724,0.785822276260983,22118,AlpineGP
529_pollen,3,0.7991947939411961,0.77855090186895,860,AlpineGP
529_pollen,4,0.7932467702190998,0.7961060170024366,15795,AlpineGP
529_pollen,5,0.7842935305604609,0.803699353717669,21575,AlpineGP
529_pollen,6,0.7939167974013728,0.7750304204729883,5390,AlpineGP
529_pollen,7,0.7986415668983129,0.7788932489816448,11964,AlpineGP
529_pollen,8,0.7929956828151925,0.7969016425934032,6265,AlpineGP
529_pollen,9,0.7930964536245204,0.7764647903809226,23654,AlpineGP
529_pollen,10,0.7903534660573458,0.8044481380206027,11284,AlpineGP
557_analcatdata_apnea1,1,0.8888876439168389,0.9225970178220444,29802,AlpineGP
557_analcatdata_apnea1,2,0.9043345237812004,0.847375701065852,22118,AlpineGP
557_analcatdata_apnea1,3,0.9016448942065832,0.8734847599730133,860,AlpineGP
557_analcatdata_apnea1,4,0.894188780752462,0.889575680930607,15795,AlpineGP
557_analcatdata_apnea1,5,0.9158681536762636,0.7546536441358314,21575,AlpineGP
557_analcatdata_apnea1,6,0.8692534983579184,0.929744237854926,5390,AlpineGP
557_analcatdata_apnea1,7,0.8984514224512492,0.8724746326844939,11964,AlpineGP
557_analcatdata_apnea1,8,0.908622894982102,0.8238869965523798,6265,AlpineGP
557_analcatdata_apnea1,9,0.8860491088209065,0.8131046524439481,23654,AlpineGP
557_analcatdata_apnea1,10,0.9089342230261304,0.8006356552085168,11284,AlpineGP
560_bodyfat,1,0.9926521624141486,0.9903847336031764,29802,AlpineGP
560_bodyfat,2,0.9900998862061462,0.0043965399609665,22118,AlpineGP
560_bodyfat,3,0.9897219326634592,-0.1683597372306,860,AlpineGP
560_bodyfat,4,0.994483551613672,0.9785077923422328,15795,AlpineGP
560_bodyfat,5,0.9875738196525656,0.9991882082699152,21575,AlpineGP
560_bodyfat,6,0.9908878304195128,0.9952659153392174,5390,AlpineGP
560_bodyfat,7,0.9898225525524794,0.9904450422634472,11964,AlpineGP
560_bodyfat,8,0.9904168913731616,0.9986451024514156,6265,AlpineGP
560_bodyfat,9,0.9906986927370602,0.997290612744087,23654,AlpineGP
560_bodyfat,10,0.9869804219046384,0.9957663081970914,11284,AlpineGP
485_analcatdata_vehicle,1,0.975712517848941,0.1394590020421959,29802,AlpineGP
485_analcatdata_vehicle,2,0.9210049023691036,0.8420403178892715,22118,AlpineGP
485_analcatdata_vehicle,3,0.9454495793244396,0.0971874222272667,860,AlpineGP
485_analcatdata_vehicle,4,0.9378226906459576,-0.3722605914893995,15795,AlpineGP
485_analcatdata_vehicle,5,0.9404227576369586,0.7562548664797142,21575,AlpineGP
485_analcatdata_vehicle,6,0.9503738981457628,-0.6843525851207537,5390,AlpineGP
